"run_id","timestamp","backbone","pretrained","optimizer","learning_rate","batch_size","epochs","criterion","device","num_classes","train_size","val_size","total_params","trainable_params","augment","scheduler","weight_decay","early_stop","patience","min_delta","current_lr","freeze","loss","class_weight","best_val_acc","best_epoch","target_val_acc","epoch_to_threshold","stopped_epoch"
"resnet18_bs32_lr0.001_ep15_augFalse_20251127_180530","2025-11-27 18:19:36","resnet18","True","SGD","0.001","32","15","CrossEntropyLoss","cuda","27","2256","232","11190363","11190363","False","none","0.0","","","","","","ce","","0.5991379310344828","10","0.48","3",""
"resnet18_bs32_lr0.001_ep15_augFalse_20251127_181947","2025-11-27 18:33:49","resnet18","True","RMSprop","0.001","32","15","CrossEntropyLoss","cuda","27","2256","232","11190363","11190363","False","none","0.0","","","","","","ce","","0.15517241379310345","14","0.48","",""
"resnet18_bs32_lr0.001_ep15_augFalse_20251127_183359","2025-11-27 18:48:06","resnet18","True","AdamW","0.001","32","15","CrossEntropyLoss","cuda","27","2256","232","11190363","11190363","False","none","0.0","","","","","","ce","","0.5301724137931034","13","0.48","11",""
"resnet18_bs32_lr0.01_ep15_augFalse_20251127_184816","2025-11-27 19:02:04","resnet18","True","Adam","0.01","32","15","CrossEntropyLoss","cuda","27","2256","232","11190363","11190363","False","none","0.0","","","","","","ce","","0.12931034482758622","12","0.48","",""
"resnet18_bs32_lr0.005_ep15_augFalse_20251127_190214","2025-11-27 19:16:23","resnet18","True","Adam","0.005","32","15","CrossEntropyLoss","cuda","27","2256","232","11190363","11190363","False","none","0.0","","","","","","ce","","0.14224137931034483","11","0.48","",""
"resnet18_bs32_lr0.0005_ep15_augFalse_20251127_193044","2025-11-27 19:44:56","resnet18","True","Adam","0.0005","32","15","CrossEntropyLoss","cuda","27","2256","232","11190363","11190363","False","none","0.0","","","","","","ce","","0.5775862068965517","9","0.48","3",""
"resnet18_bs32_lr0.0001_ep15_augFalse_20251127_194506","2025-11-27 19:59:33","resnet18","True","Adam","0.0001","32","15","CrossEntropyLoss","cuda","27","2256","232","11190363","11190363","False","none","0.0","","","","","","ce","","0.6379310344827586","9","0.48","1",""
"resnet18_bs16_lr0.001_ep15_augFalse_20251127_195943","2025-11-27 20:15:23","resnet18","True","Adam","0.001","16","15","CrossEntropyLoss","cuda","27","2256","232","11190363","11190363","False","none","0.0","","","","","","ce","","0.43103448275862066","9","0.48","",""
"resnet18_bs64_lr0.001_ep15_augFalse_20251127_202939","2025-11-27 20:43:28","resnet18","True","Adam","0.001","64","15","CrossEntropyLoss","cuda","27","2256","232","11190363","11190363","False","none","0.0","","","","","","ce","","0.521551724137931","9","0.48","5",""
"resnet18_bs128_lr0.001_ep15_augFalse_20251127_204338","2025-11-27 20:58:54","resnet18","True","Adam","0.001","128","15","CrossEntropyLoss","cuda","27","2256","232","11190363","11190363","False","none","0.0","","","","","","ce","","0.5517241379310345","10","0.48","5",""
